rid,sentences__sentence__text,sentences__sentence__Opinions__Opinion__category,sentences__sentence__Opinions__Opinion__polarity
79,Being a PC user my whole life....,,
,This computer is absolutely AMAZING!!!,LAPTOP#GENERAL,positive
,10 plus hours of battery...,BATTERY#OPERATION_PERFORMANCE,positive
,super fast processor and really nice graphics card..,CPU#OPERATION_PERFORMANCE,positive
,,GRAPHICS#GENERAL,positive
,and plenty of storage with 250 gb(though I will upgrade this and the ram..),HARD_DISC#DESIGN_FEATURES,positive
,This computer is really fast and I'm shocked as to how easy it is to get used to...,LAPTOP#OPERATION_PERFORMANCE,positive
,,LAPTOP#USABILITY,positive
,I've only had mine a day but I'm already used to it...,LAPTOP#USABILITY,positive
,MACS ARE AMAZING!!!,,
,GET THIS COMPUTER FOR PORTABILITY AND FAST PROCESSING!!!,LAPTOP#PORTABILITY,positive
,,CPU#OPERATION_PERFORMANCE,positive
10,the laptop was really good and it goes really fast just the way i thought it would of run.,LAPTOP#GENERAL,positive
,,LAPTOP#OPERATION_PERFORMANCE,positive
,i would really recommend to any person out there to get this laptop cause its really worth it.,LAPTOP#GENERAL,positive
,and its really cheap and you wont regret buying it.,LAPTOP#PRICE,positive
,,LAPTOP#GENERAL,positive
264,"As a lifelong Windows user, I was extremely pleased to make the change to Mac.",,
,"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;",LAPTOP#PORTABILITY,positive
,,LAPTOP#QUALITY,positive
,,LAPTOP#USABILITY,positive
,"without a big ol' clunky machine in my backpack, I feel like I can do programming homework anywhere.",LAPTOP#DESIGN_FEATURES,positive
,,LAPTOP#PORTABILITY,positive
,,LAPTOP#MISCELLANEOUS,positive
,I highly recommend this computer for students looking for a solid machine to get them through college.,LAPTOP#MISCELLANEOUS,positive
,,LAPTOP#QUALITY,positive
,"A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.",OS#DESIGN_FEATURES,positive
24,Oh my goodness-I am not a happy camper.,LAPTOP#GENERAL,negative
,My HP is very heavy.,LAPTOP#DESIGN_FEATURES,negative
,Not easy to carry.,LAPTOP#PORTABILITY,negative
,The battery has never worked well.,BATTERY#QUALITY,negative
,,BATTERY#OPERATION_PERFORMANCE,negative
,The battery gets so HOT it is scary.,BATTERY#QUALITY,negative
,"Yet, HP won't do anything about the problem.",SUPPORT#QUALITY,negative
,I returned the computer to HP and they kept it for 3 months.,SUPPORT#QUALITY,negative
,When I got the computer back and realizwed it still was not correct HP told me it was out of warranty and now it was my problem.,SUPPORT#QUALITY,negative
,"So, you can imagine how unhappy I am with this item.",LAPTOP#GENERAL,negative
,Currently if I use the laptop I can't sit it on my lap because it will burn my legs.,LAPTOP#QUALITY,negative
,I did contact HP and share how unhappy I am.,,
,"Well, they don't care a bunch.",SUPPORT#QUALITY,negative
,"But, at the same time they (the company) would not and could not do anything about my problem.",SUPPORT#QUALITY,negative
,I would  say if you want to buy one of these machines be careful.,LAPTOP#GENERAL,negative
,"And, if you are going to deal with HP be careful.",COMPANY#GENERAL,negative
,"In my house, HP is a nasty word.",COMPANY#GENERAL,negative
277,"Since I purchased my Toshiba netbook, I have been very pleased with it, I have a laptob and a desktop.",LAPTOP#GENERAL,positive
,The netbook is easier for me to take to bed and carry around with me.,LAPTOP#PORTABILITY,positive
,"The screen takes some getting use to, because it is smaller than the laptop.",DISPLAY#USABILITY,neutral
,,DISPLAY#DESIGN_FEATURES,neutral
,I have not have any problems.,LAPTOP#GENERAL,positive
