rid,sentences__sentence__text,sentences__sentence__Opinions__Opinion__category,sentences__sentence__Opinions__Opinion__polarity
1004293,"Judging from previous posts this used to be a good place, but not any longer.",RESTAURANT#GENERAL,negative
,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",SERVICE#GENERAL,negative
,"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.",SERVICE#GENERAL,negative
,The food was lousy - too sweet or too salty and the portions tiny.,FOOD#QUALITY,negative
,,FOOD#STYLE_OPTIONS,negative
,"After all that, they complained to me about the small tip.",SERVICE#GENERAL,negative
,Avoid this place!,RESTAURANT#GENERAL,negative
1014458,"I have eaten at Saul, many times, the food is always consistently, outrageously good.",FOOD#QUALITY,positive
,Saul is the best restaurant on Smith Street and in Brooklyn.,RESTAURANT#GENERAL,positive
,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,FOOD#QUALITY,positive
,,FOOD#QUALITY,positive
,The wine list is interesting and has many good values.,DRINKS#STYLE_OPTIONS,positive
,,DRINKS#PRICES,positive
,"For the price, you cannot eat this well in Manhattan.",RESTAURANT#PRICES,positive
,,FOOD#QUALITY,positive
1016296,I was very disappointed with this restaurant.,RESTAURANT#GENERAL,negative
,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,SERVICE#GENERAL,negative
,I had to ask her three times before she finally came back with the dish Ive requested.,SERVICE#GENERAL,negative
,"Food was okay, nothing great.",FOOD#QUALITY,neutral
,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family.,FOOD#QUALITY,negative
,,FOOD#QUALITY,negative
,,RESTAURANT#MISCELLANEOUS,negative
,I/we will never go back to this place again.,RESTAURANT#GENERAL,negative
1028246,"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",RESTAURANT#GENERAL,positive
,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",SERVICE#GENERAL,positive
,,FOOD#QUALITY,positive
,,RESTAURANT#PRICES,positive
,You can't go wrong here.,RESTAURANT#GENERAL,positive
1032695,Every time in New York I make it a point to visit Restaurant Saul on Smith Street.,RESTAURANT#GENERAL,positive
,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",FOOD#QUALITY,positive
,,SERVICE#GENERAL,positive
,,AMBIENCE#GENERAL,positive
,I had the duck breast special on my last visit and it was incredible.,FOOD#QUALITY,positive
,Can't wait wait for my next visit.,RESTAURANT#GENERAL,positive
1041457,"I had my eyes on this place, promising myself I will one day 'give it a try.' ",,
,And I hate to say this but I doubt I'll ever go back.,RESTAURANT#GENERAL,negative
,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",FOOD#QUALITY,negative
,,FOOD#QUALITY,negative
,,FOOD#QUALITY,negative
,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,FOOD#QUALITY,positive
,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,FOOD#QUALITY,positive
,,FOOD#STYLE_OPTIONS,positive
,"Anyways, if you're in the neighborhood to eat good food, I wouldn't waste my time trying to find something, rather go across the street to Tamari.",,
,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",AMBIENCE#GENERAL,negative
,,AMBIENCE#GENERAL,positive
,,AMBIENCE#GENERAL,negative
1053543,We ate outside at Haru's Sake bar because Haru's restaurant next door was overflowing.,,
,What's the difference between the two?,,
,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",DRINKS#STYLE_OPTIONS,positive
