text,target,category,polarity,from,to,id,_rid,target,category,polarity,from,to,text,target,category,polarity,from,to,id,text,target,category,polarity,from,to,id,text,target,category,polarity,from,to,id,target,category,polarity,from,to,target,category,polarity,from,to,target,category,polarity,from,to,target,category,polarity,from,to,target,category,polarity,from,to,target,category,polarity,from,to,text,target,category,polarity,from,to,id,text,target,category,polarity,from,to,id,text,target,category,polarity,from,to,id,target,category,polarity,from,to,target,category,polarity,from,to,target,category,polarity,from,to,target,category,polarity,from,to,target,category,polarity,from,to,target,category,polarity,from,to
2 words -filter coffee :-),coffee,DRINKS#QUALITY,negative,16,22,0:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not worth the price & hype,hype,AMBIENCE#GENERAL,negative,22,26,1:00,1,,RESTAURANT#PRICES,negative,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You have to try carrot juice,carrot juice,DRINKS#QUALITY,positive,16,28,2:00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Im in love with it,,RESTAURANT#GENERAL,positive,0,0,3:00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total rip off!!,,RESTAURANT#GENERAL,negative,0,0,4:00,4,,,,,,They tried to change us more than double service charge on our bill.,,SERVICE#GENERAL,negative,0,0,4:01,The small pizza is tiny and up the road you can get a 3 course meal for 15 soles!,small pizza,FOOD#STYLE_OPTIONS,negative,4,15,4:02,AVOID THIS PLACE!!!!,,RESTAURANT#GENERAL,negative,0,0,4:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The best bar in Hikkaduwa.,bar,RESTAURANT#GENERAL,positive,9,12,5:00,5,,,,,,U can find here everything u want),,RESTAURANT#GENERAL,positive,0,0,5:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nice authentic tradition South Indian food..,food,FOOD#QUALITY,positive,38,42,6:00,6,,,,,,Nice ambience and the lighting is good,ambience,AMBIENCE#GENERAL,positive,5,13,6:01,,,,,,,,,,,,,,,lighting,AMBIENCE#GENERAL,positive,22,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#36 with mango juice!,mango juice,DRINKS#QUALITY,positive,9,20,7:00,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best food in town!,food,FOOD#QUALITY,positive,5,9,8:00,8,,,,,,Their steaks are awesome!!!,steaks,FOOD#QUALITY,positive,6,12,8:01,Thumbs up all the way!!!,,RESTAURANT#GENERAL,positive,0,0,8:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasta tasteless.,Pasta,FOOD#QUALITY,negative,0,5,9:00,9,,,,,,Mushroom watery and lemon tea need to ask for extra lemon.,Mushroom,FOOD#QUALITY,negative,0,8,9:01,Super bad!,,FOOD#QUALITY,negative,0,0,9:02,Dun try!,,RESTAURANT#GENERAL,negative,0,0,9:03,lemon tea,DRINKS#QUALITY,negative,20,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
